location,Y,X(s),covariate num.,r^2,offset
aj jazirah,arriving_IDP,sadness,1,0.0,1
aj jazirah,arriving_IDP,disgust,1,0.0,1
aj jazirah,arriving_IDP,joy,1,0.0,1
aj jazirah,arriving_IDP,anger-disgust,1,0.0,1
aj jazirah,leaving_IDP,anger,1,0.0,1
aj jazirah,leaving_IDP,fear,1,0.0,1
aj jazirah,leaving_IDP,sadness,1,0.0,1
aj jazirah,leaving_IDP,disgust,1,0.0,1
aj jazirah,leaving_IDP,joy,1,0.0,1
aj jazirah,leaving_IDP,anger-disgust,1,0.0,1
aj jazirah,arriving_IDP,anger,1,0.0,2
aj jazirah,arriving_IDP,fear,1,0.0,2
aj jazirah,arriving_IDP,sadness,1,0.0,2
aj jazirah,arriving_IDP,disgust,1,0.0,2
aj jazirah,arriving_IDP,joy,1,0.0,2
aj jazirah,arriving_IDP,anger-disgust,1,0.0,2
aj jazirah,leaving_IDP,anger,1,0.0,2
aj jazirah,leaving_IDP,fear,1,0.0,2
aj jazirah,leaving_IDP,sadness,1,0.0,2
aj jazirah,leaving_IDP,disgust,1,0.0,2
aj jazirah,leaving_IDP,joy,1,0.0,2
aj jazirah,leaving_IDP,anger-disgust,1,0.0,2
aj jazirah,arriving_IDP,anger,1,0.0,3
aj jazirah,arriving_IDP,fear,1,0.0,3
aj jazirah,arriving_IDP,sadness,1,0.0,3
aj jazirah,arriving_IDP,disgust,1,0.0,3
aj jazirah,arriving_IDP,joy,1,0.0,3
aj jazirah,arriving_IDP,anger-disgust,1,0.0,3
aj jazirah,leaving_IDP,anger,1,0.0,3
aj jazirah,leaving_IDP,fear,1,0.0,3
aj jazirah,leaving_IDP,sadness,1,0.0,3
aj jazirah,leaving_IDP,disgust,1,0.0,3
aj jazirah,leaving_IDP,joy,1,0.0,3
aj jazirah,leaving_IDP,anger-disgust,1,0.0,3
blue nile,arriving_IDP,anger,1,0.0,-4
blue nile,arriving_IDP,fear,1,0.0,-4
blue nile,arriving_IDP,sadness,1,0.0,-4
blue nile,arriving_IDP,disgust,1,0.0,-4
blue nile,arriving_IDP,joy,1,0.0,-4
blue nile,arriving_IDP,anger-disgust,1,0.0,-4
