date,ISO,topic,السكن,مكان السكن,منطقة آمنة,حدود,اجتياز,السكن1,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,منازل في إسرائيل,فتح معبر حدودي2,منازل في لبنان,منازل في الأردن,منازل في العراق,منازل في تركيا,فتح معبر حدودي3,الطريق إلى إسرائيل,الطريق إلى لبنان,الطريق إلى الأردن,الطريق إلى العراق,فتح معبر حدودي4,الطريق إلى تركيا,منازل في فلسطين,منازل في سوريا,منازل في مصر,فتح معبر حدودي5,الطريق إلى فلسطين,الطريق إلى سوريا,الطريق إلى مصر,منازل في السعودية,فتح معبر حدودي6,الطريق إلى السعودية,منازل في الكويت,الطريق إلى الكويت,منازل في الإمارات العربية المتحدة,فتح معبر حدودي7,منازل في اليمن,الطريق إلى الإمارات العربية المتحدة,الطريق إلى اليمن
2021-08-01,OM,geography,13,0,0,26,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,OM,geography,10,0,0,27,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,OM,geography,9,0,0,32,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,OM,geography,5,0,0,30,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,OM,geography,10,0,0,28,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,OM,geography,8,0,0,14,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,OM,geography,8,0,0,28,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,OM,geography,7,0,0,28,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,OM,geography,12,0,0,28,4,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,OM,geography,5,0,0,27,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,OM,geography,12,0,0,25,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,OM,geography,11,0,0,46,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,OM,geography,9,0,0,36,3,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,OM,geography,6,0,0,26,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,OM,geography,7,0,0,24,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,OM,geography,4,0,0,26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,OM,geography,6,0,0,26,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,OM,geography,8,0,0,25,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,OM,geography,9,0,0,34,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,OM,geography,5,0,0,19,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,OM,geography,6,0,0,24,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,OM,geography,9,0,0,22,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
