date,ISO,topic,السكن,مكان السكن,منطقة آمنة,حدود,اجتياز,السكن1,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,منازل في إسرائيل,فتح معبر حدودي2,منازل في لبنان,منازل في الأردن,منازل في العراق,منازل في تركيا,فتح معبر حدودي3,الطريق إلى إسرائيل,الطريق إلى لبنان,الطريق إلى الأردن,الطريق إلى العراق,فتح معبر حدودي4,الطريق إلى تركيا,منازل في فلسطين,منازل في سوريا,منازل في مصر,فتح معبر حدودي5,الطريق إلى فلسطين,الطريق إلى سوريا,الطريق إلى مصر,منازل في السعودية,فتح معبر حدودي6,الطريق إلى السعودية,منازل في الكويت,الطريق إلى الكويت,منازل في الإمارات العربية المتحدة,فتح معبر حدودي7,منازل في اليمن,الطريق إلى الإمارات العربية المتحدة,الطريق إلى اليمن,منازل في عمان,فتح معبر حدودي8,الطريق إلى عمان,منازل في الصحراء الغربية,منازل في الجزائر,الطريق إلى الصحراء الغربية,فتح معبر حدودي9,الطريق إلى الجزائر,منازل في مالي,منازل في موريتانيا,منازل في النيجر,فتح معبر حدودي10,منازل في تونس,منازل في المغرب,منازل في ليبيا,الطريق إلى مالي,فتح معبر حدودي11,الطريق إلى موريتانيا,الطريق إلى النيجر,الطريق إلى تونس,الطريق إلى المغرب,فتح معبر حدودي12,الطريق إلى ليبيا,منازل في السنغال,الطريق إلى السنغال,منازل في السودان,فتح معبر حدودي13,منازل في تشاد,الطريق إلى السودان,الطريق إلى تشاد,منازل في الكاميرون,فتح معبر حدودي14,منازل في جمهورية أفريقيا الوسطى,الطريق إلى الكاميرون,الطريق إلى جمهورية أفريقيا الوسطى,منازل في إثيوبيا,فتح معبر حدودي15,منازل في جيبوتي,الطريق إلى إثيوبيا,الطريق إلى جيبوتي
2020-04-01,EG,geography,8,0,0,56,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,EG,geography,9,0,0,68,2,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,EG,geography,9,0,0,84,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,EG,geography,14,0,0,85,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,EG,geography,13,0,0,83,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,EG,geography,19,0,0,81,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,EG,geography,16,1,0,80,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,EG,geography,13,2,0,73,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,EG,geography,10,0,0,76,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,EG,geography,11,0,0,78,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
